code,start_date,end_date
002040.SZ,2005-03-25,2099-01-01
002041.SZ,2005-04-18,2099-01-01
002042.SZ,2005-04-27,2099-01-01
002043.SZ,2005-05-10,2099-01-01
002044.SZ,2005-05-18,2099-01-01
002045.SZ,2005-05-23,2099-01-01
002046.SZ,2005-05-26,2099-01-01
002047.SZ,2005-05-31,2099-01-01
002048.SZ,2005-06-03,2099-01-01
002049.SZ,2005-06-06,2099-01-01
002050.SZ,2005-06-07,2099-01-01
002051.SZ,2006-06-19,2099-01-01
002052.SZ,2006-06-27,2099-01-01
002053.SZ,2006-06-27,2099-01-01
002054.SZ,2006-07-25,2099-01-01
002055.SZ,2006-07-25,2099-01-01
002056.SZ,2006-08-02,2099-01-01
002057.SZ,2006-08-02,2099-01-01
002058.SZ,2006-08-02,2099-01-01
002059.SZ,2006-08-10,2099-01-01
002060.SZ,2006-08-10,2099-01-01
002061.SZ,2006-08-16,2099-01-01
002062.SZ,2006-08-16,2099-01-01
002063.SZ,2006-08-23,2099-01-01
002064.SZ,2006-08-23,2099-01-01
002065.SZ,2006-08-23,2099-01-01
002066.SZ,2006-08-23,2099-01-01
002067.SZ,2006-09-15,2099-01-01
002068.SZ,2006-09-15,2099-01-01
002069.SZ,2006-09-28,2099-01-01
002070.SZ,2006-10-12,2099-01-01
002071.SZ,2006-10-12,2099-01-01
002072.SZ,2006-10-18,2099-01-01
002073.SZ,2006-10-18,2099-01-01
002074.SZ,2006-10-18,2099-01-01
002075.SZ,2006-10-25,2099-01-01
002076.SZ,2006-10-25,2099-01-01
002077.SZ,2006-11-16,2099-01-01
002078.SZ,2006-11-16,2099-01-01
002079.SZ,2006-11-16,2099-01-01
002080.SZ,2006-11-20,2099-01-01
002081.SZ,2006-11-20,2099-01-01
002082.SZ,2006-11-20,2099-01-01
002083.SZ,2006-11-24,2099-01-01
002084.SZ,2006-11-24,2099-01-01
002085.SZ,2006-11-28,2099-01-01
002086.SZ,2006-11-28,2099-01-01
002087.SZ,2006-11-30,2099-01-01
002088.SZ,2006-11-30,2099-01-01
002089.SZ,2006-11-30,2099-01-01
002090.SZ,2006-12-08,2099-01-01
002091.SZ,2006-12-08,2099-01-01
002092.SZ,2006-12-08,2099-01-01
002093.SZ,2006-12-15,2099-01-01
002094.SZ,2006-12-15,2099-01-01
002095.SZ,2006-12-15,2099-01-01
002096.SZ,2006-12-22,2099-01-01
002097.SZ,2006-12-22,2099-01-01
002098.SZ,2006-12-22,2099-01-01
002099.SZ,2006-12-26,2099-01-01
002100.SZ,2006-12-26,2099-01-01
002101.SZ,2006-12-29,2099-01-01
002102.SZ,2006-12-29,2099-01-01
002103.SZ,2007-01-10,2099-01-01
002104.SZ,2007-01-10,2099-01-01
002105.SZ,2007-01-12,2099-01-01
002106.SZ,2007-01-12,2099-01-01
002107.SZ,2007-01-24,2099-01-01
002108.SZ,2007-01-24,2099-01-01
002109.SZ,2007-01-26,2099-01-01
002110.SZ,2007-01-26,2099-01-01
002111.SZ,2007-01-26,2099-01-01
002112.SZ,2007-02-08,2099-01-01
002113.SZ,2007-02-08,2099-01-01
002114.SZ,2007-02-15,2099-01-01
002115.SZ,2007-02-15,2099-01-01
002116.SZ,2007-02-15,2099-01-01
002117.SZ,2007-03-02,2099-01-01
002118.SZ,2007-03-02,2099-01-01
002119.SZ,2007-03-02,2099-01-01
002120.SZ,2007-03-06,2099-01-01
002121.SZ,2007-03-06,2099-01-01
002122.SZ,2007-03-28,2099-01-01
002123.SZ,2007-03-28,2099-01-01
002124.SZ,2007-04-03,2099-01-01
002125.SZ,2007-04-03,2099-01-01
002126.SZ,2007-04-18,2099-01-01
002127.SZ,2007-04-18,2099-01-01
002128.SZ,2007-04-18,2099-01-01
002129.SZ,2007-04-20,2099-01-01
002130.SZ,2007-04-20,2099-01-01
002131.SZ,2007-04-27,2099-01-01
002132.SZ,2007-04-27,2099-01-01
002133.SZ,2007-04-27,2099-01-01
002134.SZ,2007-05-16,2099-01-01
002135.SZ,2007-05-30,2099-01-01
002136.SZ,2007-05-30,2099-01-01
002137.SZ,2007-06-13,2099-01-01
002138.SZ,2007-06-13,2099-01-01
002139.SZ,2007-06-29,2099-01-01
002140.SZ,2007-07-12,2099-01-01
002141.SZ,2007-07-20,2099-01-01
002142.SZ,2007-07-19,2099-01-01
002143.SZ,2007-07-20,2099-01-01
002144.SZ,2007-08-03,2099-01-01
002145.SZ,2007-08-03,2099-01-01
002146.SZ,2007-08-08,2099-01-01
002147.SZ,2007-08-08,2099-01-01
002148.SZ,2007-08-10,2099-01-01
002149.SZ,2007-08-10,2099-01-01
002150.SZ,2007-08-10,2099-01-01
002151.SZ,2007-08-13,2099-01-01
002152.SZ,2007-08-13,2099-01-01
002153.SZ,2007-08-13,2099-01-01
002154.SZ,2007-08-16,2099-01-01
002155.SZ,2007-08-16,2099-01-01
002156.SZ,2007-08-16,2099-01-01
002157.SZ,2007-08-17,2099-01-01
002158.SZ,2007-08-17,2099-01-01
002159.SZ,2007-08-17,2099-01-01
002160.SZ,2007-08-21,2099-01-01
